127.0.0.1 - - [06/Apr/2020:13:15:53 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [06/Apr/2020:13:24:13 +0900] "GET /finalpj HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Apr/2020:13:24:13 +0900] "GET /finalpj/ HTTP/1.1" 200 8038
0:0:0:0:0:0:0:1 - - [06/Apr/2020:13:24:13 +0900] "GET /finalpj/resources/app-assets/fonts/flag-icon-css/css/flag-icon.min.css HTTP/1.1" 200 40326
0:0:0:0:0:0:0:1 - - [06/Apr/2020:13:24:13 +0900] "GET /finalpj/resources/app-assets/vendors/css/extensions/pace.css HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [06/Apr/2020:13:24:14 +0900] "GET /finalpj/resources/app-assets/css/bootstrap.css HTTP/1.1" 200 128728
0:0:0:0:0:0:0:1 - - [06/Apr/2020:13:24:14 +0900] "GET /finalpj/resources/app-assets/css/bootstrap-extended.css HTTP/1.1" 200 43267
0:0:0:0:0:0:0:1 - - [06/Apr/2020:13:24:14 +0900] "GET /finalpj/resources/app-assets/css/core/menu/menu-types/vertical-menu.css HTTP/1.1" 200 10409
0:0:0:0:0:0:0:1 - - [06/Apr/2020:13:24:14 +0900] "GET /finalpj/resources/assets/css/style.css HTTP/1.1" 200 503
0:0:0:0:0:0:0:1 - - [06/Apr/2020:13:24:14 +0900] "GET /finalpj/resources/app-assets/css/app.css HTTP/1.1" 200 66131
0:0:0:0:0:0:0:1 - - [06/Apr/2020:13:24:14 +0900] "GET /finalpj/resources/app-assets/css/core/menu/menu-types/vertical-overlay-menu.css HTTP/1.1" 200 2833
0:0:0:0:0:0:0:1 - - [06/Apr/2020:13:24:14 +0900] "GET /finalpj/resources/app-assets/css/core/colors/palette-gradient.css HTTP/1.1" 200 50234
0:0:0:0:0:0:0:1 - - [06/Apr/2020:13:24:14 +0900] "GET /finalpj/resources/app-assets/vendors/js/ui/tether.min.js HTTP/1.1" 200 23337
0:0:0:0:0:0:0:1 - - [06/Apr/2020:13:24:14 +0900] "GET /finalpj/resources/app-assets/fonts/icomoon.css HTTP/1.1" 200 126316
0:0:0:0:0:0:0:1 - - [06/Apr/2020:13:24:14 +0900] "GET /finalpj/resources/app-assets/vendors/js/ui/unison.min.js HTTP/1.1" 200 1268
0:0:0:0:0:0:0:1 - - [06/Apr/2020:13:24:14 +0900] "GET /finalpj/resources/app-assets/js/core/libraries/bootstrap.min.js HTTP/1.1" 200 44794
0:0:0:0:0:0:0:1 - - [06/Apr/2020:13:24:14 +0900] "GET /finalpj/resources/app-assets/css/colors.css HTTP/1.1" 200 546798
0:0:0:0:0:0:0:1 - - [06/Apr/2020:13:24:14 +0900] "GET /finalpj/resources/app-assets/js/core/libraries/jquery.min.js HTTP/1.1" 200 84345
0:0:0:0:0:0:0:1 - - [06/Apr/2020:13:24:14 +0900] "GET /finalpj/resources/app-assets/vendors/js/ui/jquery.matchHeight-min.js HTTP/1.1" 200 3358
0:0:0:0:0:0:0:1 - - [06/Apr/2020:13:24:14 +0900] "GET /finalpj/resources/app-assets/vendors/js/extensions/pace.min.js HTTP/1.1" 200 12363
0:0:0:0:0:0:0:1 - - [06/Apr/2020:13:24:14 +0900] "GET /finalpj/resources/app-assets/vendors/js/ui/blockUI.min.js HTTP/1.1" 200 9559
0:0:0:0:0:0:0:1 - - [06/Apr/2020:13:24:14 +0900] "GET /finalpj/resources/app-assets/js/core/app-menu.js HTTP/1.1" 200 23503
0:0:0:0:0:0:0:1 - - [06/Apr/2020:13:24:14 +0900] "GET /finalpj/resources/app-assets/js/core/app.js HTTP/1.1" 200 8645
